Modelo,Acurácia,Precisão,Recall,F1,ROC_AUC
Random Forest,0.730718954248366,0.7428571428571429,0.5064935064935064,0.6023166023166023,0.7960513228565745
Gradient Boosting,0.6915032679738562,0.6395348837209303,0.5357142857142857,0.5830388692579506,0.7352191025604593
Regressão Logística,0.6222222222222222,0.5811965811965812,0.22077922077922077,0.32,0.6399798232402172
